0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
138,,PMG200-C1,"Гравер PMG200-С1 МАСТЕР (бормаш 12В,150Вт,цанга 2,4; 3,5мм, ск-ть  10-33тыс.об/мин, 350 пред-в) 5шт",5590,5220,5,3.5,0.018,6971810441403
139,,PMG150-C,"Гравер PMG150-С МАСТЕР (150Вт,гиб.вал, цанга 3,2мм, ск-ть 10000-33000об/мин, 211 пред-в) 5шт",3620,3380,5,1.98,0.006,6971810441397
140,,,Бензотехника,,,,,,
141,,P51211,"Мотобур P51211 (ЧЕТЫРЕХ-РУЧНЫЙ, 2-х тактный,2,2кВт.об/двиг 63 см³, 8000об/мин,топ бак1,2 л.,7,5 кг)",15315,14310,0,11.46,0.04,6971810443940
142,,P51210,"Мотобур P51210 (2-х тактный,1,8кВт. об/двиг 52 см³, 8000об/мин,топ бак 1,2 л.,7,5 кг.)",12360,11550,0,9.88,0.034,6971810443933
143,,GCS52-C6,"Бензопила GCS52-C6 (18""450мм,2.2кВт, 52 см³, хром.цил.,легкй старт,масл-с, 2х ресурс)",9090,8495,0,7.3,0.035,6926619727562
144,,GCS45-C5,"Бензопила GCS45-C5 (16""400мм,2кВт/2,8л.с,53 см³, хром.цил.,легк старт,ресурс 2х.)",8760,8185,2,7,0.03,6926619727555
145,,GCS52-C5,"Бензопила GCS52-C5 МАСТЕР (18""450мм,2кВт ,52 см³,хром.цил.,легкй старт,масл-с, 2х ресурс)",7585,7085,2,6.5,0.034,6926619723816
146,,GCS45-C4,"Бензопила GCS45-C4 МАСТЕР (16""400мм,2кВт/2,8л.с,45 см³.,хром.цил.,легк старт,ресурс 2х.)",7430,6940,2,6.82,0.03,6926619723823
147,,GCS52-C3,"Бензопила GCS52-C3 (18""450мм,2,0кВт/2,7 л.с,53 см³,хр.цил,легкй старт, моторес2р.выше,инд.ур.топл)",7735,7225,2,7.38,0.041,6971810444787
148,,GCS52-C4,"Бензопила GCS52-C4 (16""400мм,2,0кВт/2,7 л.с,53 см³,хр.цил.,легк старт,повыш моторес2раз)P.I.T.(2 шт)",7690,7185,2,7.16,0.041,6971810444794
149,,GCS45-C3,"Бензопила GCS45-C3 (16""400мм,1,8кВт/2,45л.с,46 см³.,хром.цил.,легк старт, ресурс2р.выше, инд.ур.топ)",7930,7410,2,7.26,0.04,6971810444770
150,,,Дрели,,,,,,
151,,,Гайковерт сетевой ,,,,,,
